date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1998-10-09,3233.17,3208.94,3243.96,3205.44,3437483.0,3097138944.0,1.19,-0.5,-15.98,0.02
1998-10-12,3208.95,3186.8,3218.13,3172.46,4029833.0,3506584064.0,1.42,-0.69,-22.14,0.02
1998-10-13,3192.96,3195.2,3227.14,3187.4,4197164.0,3663368960.0,1.25,0.26,8.4,0.02
1998-10-14,3195.3,3185.98,3206.84,3172.17,3862788.0,3176724992.0,1.09,-0.29,-9.22,0.02
1998-10-15,3186.24,3204.29,3208.27,3166.4,4465577.0,4096505088.0,1.31,0.57,18.31,0.02
1998-10-16,3220.91,3229.62,3237.64,3208.13,5621396.0,5028400128.0,0.92,0.79,25.33,0.02
1998-10-19,3236.21,3253.65,3258.39,3236.21,6501376.0,5374512128.0,0.69,0.74,24.03,0.03
1998-10-20,3258.07,3226.67,3268.76,3216.14,5275473.0,4460851200.0,1.62,-0.83,-26.98,0.02
1998-10-21,3223.29,3120.73,3223.29,3117.98,6741421.0,5149885952.0,3.26,-3.28,-105.94,0.03
1998-10-22,3094.32,3118.35,3120.06,3061.9,5378634.0,4514134016.0,1.86,-0.08,-2.38,0.02
1998-10-23,3121.49,3141.27,3217.01,3117.28,5539813.0,4566923776.0,3.2,0.74,22.92,0.02
1998-10-26,3129.16,3098.22,3129.16,3057.95,5851150.0,5024542208.0,2.27,-1.37,-43.05,0.03
1998-10-27,3095.96,3087.15,3096.02,3065.16,4609628.0,4353803264.0,1.0,-0.36,-11.07,0.02
1998-10-28,3086.21,3106.32,3111.1,3081.19,4694533.0,4469430784.0,0.97,0.62,19.17,0.02
1998-10-29,3115.45,3090.05,3123.57,3077.1,5599782.0,4953666048.0,1.5,-0.52,-16.27,0.02
1998-10-30,3088.64,3112.54,3145.01,3088.64,5310709.0,4960156160.0,1.82,0.73,22.49,0.02
1998-11-02,3119.97,3098.45,3125.91,3081.11,4705441.0,4575343104.0,1.44,-0.45,-14.09,0.02
1998-11-03,3102.75,3137.21,3139.06,3097.22,5146207.0,4760183808.0,1.35,1.25,38.76,0.02
1998-11-04,3142.44,3141.13,3159.24,3124.62,5039408.0,4808270848.0,1.1,0.12,3.92,0.02
1998-11-05,3146.83,3168.59,3169.71,3128.13,6012732.0,5524235776.0,1.32,0.87,27.46,0.03
1998-11-06,3186.05,3211.86,3233.56,3182.73,7631601.0,7460321792.0,1.6,1.37,43.27,0.03
1998-11-09,3221.46,3274.07,3275.02,3221.09,6974712.0,6675833856.0,1.68,1.94,62.21,0.03
1998-11-10,3280.07,3280.81,3304.52,3246.41,6936088.0,6332247040.0,1.77,0.21,6.74,0.03
1998-11-11,3284.02,3267.54,3284.02,3244.02,6605749.0,6051375104.0,1.22,-0.4,-13.27,0.03
1998-11-12,3271.63,3277.21,3311.98,3266.54,6401987.0,6206829056.0,1.39,0.3,9.67,0.03
1998-11-13,3277.14,3264.73,3286.14,3242.54,5757217.0,5605956096.0,1.33,-0.38,-12.48,0.03
1998-11-16,3272.94,3375.44,3378.81,3271.54,5958096.0,6130227200.0,3.29,3.39,110.71,0.03
1998-11-17,3391.14,3365.61,3421.77,3353.91,5856478.0,5838026752.0,2.01,-0.29,-9.83,0.03
1998-11-18,3364.92,3351.24,3392.18,3341.92,5158942.0,4981488128.0,1.49,-0.43,-14.37,0.02
1998-11-19,3343.55,3308.69,3343.55,3306.82,4728702.0,4731194880.0,1.1,-1.27,-42.55,0.02
1998-11-20,3303.04,3314.85,3331.28,3301.35,4245629.0,4270436096.0,0.9,0.19,6.16,0.02
1998-11-23,3318.92,3292.43,3327.28,3278.48,3890349.0,3872900096.0,1.47,-0.68,-22.42,0.02
1998-11-24,3298.21,3297.19,3319.09,3289.74,3555505.0,3248943104.0,0.89,0.14,4.76,0.02
1998-11-25,3301.41,3237.6,3321.53,3235.47,3385887.0,3191708928.0,2.61,-1.81,-59.59,0.01
1998-11-26,3227.56,3218.56,3252.31,3203.79,3665299.0,3566733056.0,1.5,-0.59,-19.04,0.02
1998-11-27,3217.53,3195.77,3244.41,3188.44,3654951.0,3266668032.0,1.74,-0.71,-22.79,0.02
1998-11-30,3190.78,3201.3,3202.58,3171.61,3139711.0,2786202112.0,0.97,0.17,5.53,0.01
1998-12-01,3209.16,3181.0,3218.08,3175.66,3086504.0,2612424960.0,1.33,-0.63,-20.3,0.01
1998-12-02,3182.46,3201.41,3202.66,3160.88,3225287.0,2742217984.0,1.31,0.64,20.41,0.01
1998-12-03,3201.45,3179.37,3210.74,3171.16,2687563.0,2379153920.0,1.24,-0.69,-22.04,0.01
1998-12-04,3178.6,3149.82,3204.4,3137.73,2725350.0,2388541952.0,2.1,-0.93,-29.55,0.01
1998-12-07,3216.98,3130.4,3222.18,3124.91,2639729.0,2347252992.0,3.09,-0.62,-19.42,0.01
1998-12-08,3127.0,3148.02,3155.29,3121.69,2112747.0,1791463040.0,1.07,0.56,17.62,0.01
1998-12-09,3153.42,3134.15,3158.66,3130.06,1788587.0,1534343936.0,0.91,-0.44,-13.87,0.01
1998-12-10,3135.48,3088.96,3139.59,3085.14,2206030.0,1992221952.0,1.74,-1.44,-45.19,0.01
1998-12-11,3080.51,3124.88,3128.19,3059.65,2418888.0,1828243968.0,2.22,1.16,35.92,0.01
1998-12-14,3115.53,3068.5,3118.96,3066.45,1874096.0,1538172032.0,1.68,-1.8,-56.38,0.01
1998-12-15,3056.88,3075.24,3078.07,3011.63,2376009.0,1954180992.0,2.17,0.22,6.74,0.01
1998-12-16,3078.1,3034.53,3078.1,3027.94,1989829.0,1672989952.0,1.63,-1.32,-40.71,0.01
1998-12-17,3023.73,2977.17,3023.73,2974.18,2357765.0,1932993024.0,1.63,-1.89,-57.36,0.01
1998-12-18,2967.69,2971.38,3003.39,2955.87,2922843.0,2304114944.0,1.6,-0.19,-5.79,0.01
1998-12-21,2971.02,2977.77,3001.95,2958.94,2209450.0,1654672000.0,1.45,0.22,6.39,0.01
1998-12-22,2976.77,3052.63,3054.43,2976.33,3270383.0,2576548096.0,2.62,2.51,74.86,0.01
1998-12-23,3056.11,3024.19,3062.99,3011.56,3037632.0,2445937920.0,1.68,-0.93,-28.44,0.01
1998-12-24,3021.42,3009.96,3024.33,3000.37,2545776.0,2099564032.0,0.79,-0.47,-14.23,0.01
1998-12-25,3011.93,3014.39,3045.37,3009.99,2388156.0,1846793984.0,1.18,0.15,4.43,0.01
1998-12-28,3011.56,2977.95,3031.55,2976.18,3436721.0,2086112000.0,1.84,-1.21,-36.44,0.02
1998-12-29,2977.02,2946.27,2987.97,2936.22,3035834.0,2135954048.0,1.74,-1.06,-31.68,0.01
1998-12-30,2937.53,2952.71,2968.0,2902.43,3193472.0,2296636928.0,2.23,0.22,6.44,0.01
1998-12-31,2958.87,2949.32,2971.02,2940.41,1949559.0,1541881984.0,1.04,-0.11,-3.39,0.01
1999-01-04,2945.24,2888.09,2945.97,2887.22,1637611.0,1121554944.0,1.99,-2.08,-61.23,0.01
1999-01-05,2882.22,2860.4,2882.22,2823.63,2271514.0,1530312960.0,2.03,-0.96,-27.69,0.01
1999-01-06,2861.47,2892.48,2916.81,2861.47,2149262.0,1517388032.0,1.93,1.12,32.08,0.01
1999-01-07,2890.05,2913.12,2946.16,2879.29,2914776.0,1889901952.0,2.31,0.71,20.64,0.01
1999-01-08,2914.18,2981.13,2984.45,2914.18,3600099.0,2773872128.0,2.41,2.33,68.01,0.02
1999-01-11,2983.02,2973.43,2987.26,2945.59,3924624.0,2835440128.0,1.4,-0.26,-7.7,0.02
1999-01-12,2970.07,2932.3,2970.07,2929.17,3389406.0,2570959104.0,1.38,-1.38,-41.13,0.01
