date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1991-03-05,131.42,131.46,131.99,131.41,982.0,934000.0,0.44,-0.4,-0.53,0.0
1991-03-06,130.89,130.94,130.95,130.89,719.0,1345000.0,0.05,-0.4,-0.52,0.0
1991-03-07,130.41,130.41,130.94,130.41,568.0,427000.0,0.4,-0.4,-0.53,0.0
1991-03-08,129.84,129.89,130.41,129.84,933.0,541000.0,0.44,-0.4,-0.52,0.0
1991-03-11,129.3,129.31,129.89,129.3,514.0,299000.0,0.45,-0.45,-0.58,0.0
1991-03-12,128.73,128.77,129.31,128.73,957.0,783000.0,0.45,-0.42,-0.54,0.0
1991-03-13,126.13,126.15,128.77,126.13,498.0,418000.0,2.05,-2.03,-2.62,0.0
1991-03-14,125.61,125.63,126.15,125.61,326.0,242000.0,0.43,-0.41,-0.52,0.0
1991-03-15,125.08,125.17,125.62,125.08,790.0,403000.0,0.43,-0.37,-0.46,0.0
1991-03-18,124.7,124.71,125.17,124.69,1250.0,1210000.0,0.38,-0.37,-0.46,0.0
1991-03-19,124.23,124.22,124.71,124.22,892.0,682000.0,0.39,-0.39,-0.49,0.0
1991-03-20,123.66,123.66,124.21,123.63,678.0,433000.0,0.47,-0.45,-0.56,0.0
1991-03-21,123.14,123.12,123.66,123.12,151.0,131000.0,0.44,-0.44,-0.54,0.0
1991-03-22,122.62,122.62,123.12,122.62,207.0,120000.0,0.41,-0.41,-0.5,0.0
1991-03-25,122.12,122.12,122.62,122.1,443.0,324000.0,0.42,-0.41,-0.5,0.0
1991-03-26,121.62,121.62,122.14,121.62,1164.0,709000.0,0.43,-0.41,-0.5,0.0
1991-03-27,121.12,121.12,121.64,121.12,668.0,366000.0,0.43,-0.41,-0.5,0.0
1991-03-28,120.65,120.61,121.15,120.61,961.0,505000.0,0.45,-0.42,-0.51,0.0
1991-03-29,120.16,120.19,120.61,120.11,2185.0,2186000.0,0.41,-0.35,-0.42,0.0
1991-04-01,120.69,120.73,120.73,119.68,11999.0,5666000.0,0.87,0.45,0.54,0.0
1991-04-02,121.21,121.21,121.29,120.73,816.0,387000.0,0.46,0.4,0.48,0.0
1991-04-03,121.71,121.71,121.71,121.21,2063.0,977000.0,0.41,0.41,0.5,0.0
1991-04-04,122.2,121.72,122.2,121.24,10517.0,5045000.0,0.79,0.01,0.01,0.0
1991-04-05,121.07,121.54,121.73,121.03,11589.0,6035000.0,0.58,-0.15,-0.18,0.0
1991-04-08,121.11,121.09,121.11,121.05,1862.0,1675000.0,0.05,-0.37,-0.45,0.0
1991-04-09,120.6,120.62,121.1,120.6,320.0,297000.0,0.41,-0.39,-0.47,0.0
1991-04-10,120.15,120.16,120.62,120.09,466.0,281000.0,0.44,-0.38,-0.46,0.0
1991-04-11,119.64,119.64,120.16,119.62,239.0,576000.0,0.45,-0.43,-0.52,0.0
1991-04-12,119.2,119.21,119.65,119.15,399.0,301000.0,0.42,-0.36,-0.43,0.0
1991-04-15,118.73,118.77,119.22,118.72,301.0,386000.0,0.42,-0.37,-0.44,0.0
1991-04-16,118.36,118.34,118.77,118.34,105.0,177000.0,0.36,-0.36,-0.43,0.0
1991-04-17,117.92,117.9,118.34,117.89,201.0,259000.0,0.38,-0.37,-0.44,0.0
1991-04-18,117.45,117.45,117.93,117.45,178.0,133000.0,0.41,-0.38,-0.45,0.0
1991-04-19,117.08,117.08,117.5,117.05,646.0,424000.0,0.38,-0.32,-0.37,0.0
